"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"99,577",—,—,415,"3,686","11,281","16,221","14,452","14,222","14,098","10,730","7,292","4,125","1,671",877,364,110,32,1
總　　　　計,男,"71,683",—,—,300,"2,606","7,967","11,279","9,603","9,301","10,077","8,320","5,993","3,456","1,509",797,342,104,28,1
,女,"27,894",—,—,115,"1,080","3,314","4,942","4,849","4,921","4,021","2,410","1,299",669,162,80,22,6,4,—
,計,"19,208",—,—,356,"2,334","4,136","3,907","2,743","2,147","1,529",912,520,333,161,89,31,8,2,—
未　　　　婚,男,"10,272",—,—,257,"1,631","2,704","2,183","1,216",788,538,330,247,168,113,64,26,6,1,—
,女,"8,936",—,—,99,703,"1,432","1,724","1,527","1,359",991,582,273,165,48,25,5,2,1,—
,計,"74,042",—,—,58,"1,325","6,926","11,789","10,860","10,964","11,374","8,892","6,088","3,387","1,331",676,279,75,17,1
有　　　　偶,男,"57,582",—,—,43,959,"5,128","8,772","7,929","7,961","8,860","7,395","5,271","3,001","1,253",645,274,73,17,1
,女,"16,460",—,—,15,366,"1,798","3,017","2,931","3,003","2,514","1,497",817,386,78,31,5,2,—,—
,計,"73,918",—,—,57,"1,323","6,905","11,750","10,837","10,940","11,364","8,890","6,086","3,387","1,331",676,279,75,17,1
不同性別,男,"57,522",—,—,43,958,"5,120","8,757","7,919","7,945","8,854","7,393","5,269","3,001","1,253",645,274,73,17,1
,女,"16,396",—,—,14,365,"1,785","2,993","2,918","2,995","2,510","1,497",817,386,78,31,5,2,—,—
,計,124,—,—,1,2,21,39,23,24,10,2,2,—,—,—,—,—,—,—
相同性別,男,60,—,—,—,1,8,15,10,16,6,2,2,—,—,—,—,—,—,—
,女,64,—,—,1,1,13,24,13,8,4,—,—,—,—,—,—,—,—,—
,計,"5,003",—,—,1,26,210,504,789,"1,004","1,005",685,450,215,73,31,8,1,1,—
離婚/終止結婚,男,"2,971",—,—,—,15,129,309,428,501,573,441,317,157,66,26,7,1,1,—
,女,"2,032",—,—,1,11,81,195,361,503,432,244,133,58,7,5,1,—,—,—
,計,"4,999",—,—,1,26,209,502,788,"1,004","1,005",685,450,215,73,31,8,1,1,—
不同性別,男,"2,970",—,—,—,15,129,309,427,501,573,441,317,157,66,26,7,1,1,—
,女,"2,029",—,—,1,11,80,193,361,503,432,244,133,58,7,5,1,—,—,—
,計,4,—,—,—,—,1,2,1,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—
,女,3,—,—,—,—,1,2,—,—,—,—,—,—,—,—,—,—,—,—
,計,"1,324",—,—,—,1,9,21,60,107,190,241,234,190,106,81,46,26,12,—
喪　　　　偶,男,858,—,—,—,1,6,15,30,51,106,154,158,130,77,62,35,24,9,—
,女,466,—,—,—,—,3,6,30,56,84,87,76,60,29,19,11,2,3,—
,計,"1,324",—,—,—,1,9,21,60,107,190,241,234,190,106,81,46,26,12,—
不同性別,男,858,—,—,—,1,6,15,30,51,106,154,158,130,77,62,35,24,9,—
,女,466,—,—,—,—,3,6,30,56,84,87,76,60,29,19,11,2,3,—
,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
