"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,721,587","89,598","5,452","3,806","16,121","31,122","37,371","36,758","58,655","137,720","321,635","580,700","413,930","394,170","319,355","182,567","73,046","16,955","2,626"
總　　　　計,男,"976,371","46,548","2,726","1,766","6,515","7,287","12,914","14,198","22,046","43,088","104,952","218,128","150,787","142,433","112,000","61,598","23,359","5,110",916
,女,"1,745,216","43,050","2,726","2,040","9,606","23,835","24,457","22,560","36,609","94,632","216,683","362,572","263,143","251,737","207,355","120,969","49,687","11,845","1,710"
,計,"222,678","89,541","5,096","2,328","6,283","5,548","8,748","8,853","10,469","13,358","17,724","21,616","11,620","8,367","6,108","3,517","2,308",928,266
未　　　　婚,男,"126,097","46,543","2,613","1,329","4,186","4,043","6,118","5,768","7,066","8,920","11,477","12,290","5,938","3,952","2,553","1,440","1,130",542,189
,女,"96,581","42,998","2,483",999,"2,097","1,505","2,630","3,085","3,403","4,438","6,247","9,326","5,682","4,415","3,555","2,077","1,178",386,77
,計,"1,438,449",46,261,"1,071","6,613","16,804","18,887","17,823","30,915","84,503","210,358","380,204","250,850","212,415","137,648","54,209","13,477","2,048",317
有　　　　偶,男,"638,340",5,90,291,"1,560","2,007","4,298","5,439","9,808","24,802","73,393","168,252","118,311","108,522","76,170","33,573","9,926","1,623",270
,女,"800,109",41,171,780,"5,053","14,797","14,589","12,384","21,107","59,701","136,965","211,952","132,539","103,893","61,478","20,636","3,551",425,47
,計,"1,438,392",46,261,"1,063","6,597","16,798","18,878","17,814","30,911","84,501","210,357","380,203","250,849","212,415","137,648","54,209","13,477","2,048",317
不同性別,男,"638,333",5,90,290,"1,560","2,007","4,298","5,436","9,807","24,800","73,393","168,252","118,311","108,522","76,170","33,573","9,926","1,623",270
,女,"800,059",41,171,773,"5,037","14,791","14,580","12,378","21,104","59,701","136,964","211,951","132,538","103,893","61,478","20,636","3,551",425,47
,計,57,—,—,8,16,6,9,9,4,2,1,1,1,—,—,—,—,—,—
相同性別,男,7,—,—,1,—,—,—,3,1,2,—,—,—,—,—,—,—,—,—
,女,50,—,—,7,16,6,9,6,3,—,1,1,1,—,—,—,—,—,—
,計,"217,742",10,95,394,"2,996","7,579","8,116","8,176","12,767","23,736","42,262","56,337","26,949","15,399","7,824","3,311","1,385",340,66
離婚/終止結婚,男,"86,183",—,23,146,767,"1,224","2,463","2,896","4,889","8,299","15,826","24,379","12,360","7,132","3,392","1,424",734,184,45
,女,"131,559",10,72,248,"2,229","6,355","5,653","5,280","7,878","15,437","26,436","31,958","14,589","8,267","4,432","1,887",651,156,21
,計,"217,737",10,95,393,"2,995","7,578","8,116","8,176","12,767","23,736","42,261","56,336","26,949","15,399","7,824","3,311","1,385",340,66
不同性別,男,"86,183",—,23,146,767,"1,224","2,463","2,896","4,889","8,299","15,826","24,379","12,360","7,132","3,392","1,424",734,184,45
,女,"131,554",10,72,247,"2,228","6,354","5,653","5,280","7,878","15,437","26,435","31,957","14,589","8,267","4,432","1,887",651,156,21
,計,5,—,—,1,1,1,—,—,—,—,1,1,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,5,—,—,1,1,1,—,—,—,—,1,1,—,—,—,—,—,—,—
,計,"842,718",1,—,13,229,"1,191","1,620","1,906","4,504","16,123","51,291","122,543","124,511","157,989","167,775","121,530","55,876","13,639","1,977"
喪　　　　偶,男,"125,751",—,—,—,2,13,35,95,283,"1,067","4,256","13,207","14,178","22,827","29,885","25,161","11,569","2,761",412
,女,"716,967",1,—,13,227,"1,178","1,585","1,811","4,221","15,056","47,035","109,336","110,333","135,162","137,890","96,369","44,307","10,878","1,565"
,計,"842,718",1,—,13,229,"1,191","1,620","1,906","4,504","16,123","51,291","122,543","124,511","157,989","167,775","121,530","55,876","13,639","1,977"
不同性別,男,"125,751",—,—,—,2,13,35,95,283,"1,067","4,256","13,207","14,178","22,827","29,885","25,161","11,569","2,761",412
,女,"716,967",1,—,13,227,"1,178","1,585","1,811","4,221","15,056","47,035","109,336","110,333","135,162","137,890","96,369","44,307","10,878","1,565"
,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
