"婚姻狀況及
婚姻類型",性別,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"20,597,840","1,154,426","1,494,883","1,597,613","1,583,943","1,894,274","2,016,609","1,760,217","1,806,643","1,824,832","1,677,085","1,445,839","902,349","588,493","445,423","255,428","117,104","28,437","4,242"
總　　　　計,男,"10,134,705","602,819","777,563","828,469","812,698","941,428","993,290","861,418","888,663","892,095","809,910","687,090","420,487","262,423","185,500","104,537","52,093","12,345","1,877"
,女,"10,463,135","551,607","717,320","769,144","771,245","952,846","1,023,319","898,799","917,980","932,737","867,175","758,749","481,862","326,070","259,923","150,891","65,011","16,092","2,365"
,計,"7,036,146","1,151,874","1,439,992","1,328,321","905,738","674,283","512,286","332,192","253,605","181,823","116,057","72,580","33,858","14,710","8,924","4,824","3,303","1,415",361
未　　　　婚,男,"3,815,928","602,341","758,956","722,166","522,691","397,310","290,895","176,910","131,552","94,036","58,398","31,961","13,498","6,339","3,694","2,116","1,871",926,268
,女,"3,220,218","549,533","681,036","606,155","383,047","276,973","221,391","155,282","122,053","87,787","57,659","40,619","20,360","8,371","5,230","2,708","1,432",489,93
,計,"10,322,361","2,251","45,463","235,696","607,117","1,061,378","1,252,428","1,139,008","1,211,740","1,270,745","1,191,809","1,012,668","597,532","347,741","215,215","91,423","33,335","6,032",780
有　　　　偶,男,"5,192,150",442,"15,525","92,668","260,367","479,986","593,192","556,356","605,860","644,950","618,214","545,522","339,816","207,137","133,890","64,011","28,090","5,434",690
,女,"5,130,211","1,809","29,938","143,028","346,750","581,392","659,236","582,652","605,880","625,795","573,595","467,146","257,716","140,604","81,325","27,412","5,245",598,90
,計,"10,312,943","2,233","44,893","234,100","604,862","1,059,294","1,250,945","1,138,235","1,211,347","1,270,576","1,191,763","1,012,648","597,522","347,741","215,215","91,422","33,335","6,032",780
不同性別,男,"5,189,463",439,"15,376","92,275","259,783","479,469","592,776","556,072","605,660","644,857","618,188","545,508","339,808","207,137","133,890","64,011","28,090","5,434",690
,女,"5,123,480","1,794","29,517","141,825","345,079","579,825","658,169","582,163","605,687","625,719","573,575","467,140","257,714","140,604","81,325","27,411","5,245",598,90
,計,"9,418",18,570,"1,596","2,255","2,084","1,483",773,393,169,46,20,10,—,—,1,—,—,—
相同性別,男,"2,687",3,149,393,584,517,416,284,200,93,26,14,8,—,—,—,—,—,—
,女,"6,731",15,421,"1,203","1,671","1,567","1,067",489,193,76,20,6,2,—,—,1,—,—,—
,計,"1,849,802",298,"9,362","33,219","69,598","151,680","235,912","261,435","290,837","282,446","230,558","160,614","71,867","28,848","13,618","5,746","2,866",786,112
離婚/終止結婚,男,"874,409",36,"3,072","13,579","29,405","63,267","107,044","124,236","143,448","138,487","110,630","77,704","36,400","15,063","6,680","2,901","1,855",520,82
,女,"975,393",262,"6,290","19,640","40,193","88,413","128,868","137,199","147,389","143,959","119,928","82,910","35,467","13,785","6,938","2,845","1,011",266,30
,計,"1,848,953",296,"9,152","32,939","69,422","151,578","235,864","261,416","290,828","282,445","230,557","160,613","71,867","28,848","13,618","5,746","2,866",786,112
不同性別,男,"874,133",36,"3,007","13,479","29,349","63,236","107,029","124,231","143,444","138,487","110,630","77,704","36,400","15,063","6,680","2,901","1,855",520,82
,女,"974,820",260,"6,145","19,460","40,073","88,342","128,835","137,185","147,384","143,958","119,927","82,909","35,467","13,785","6,938","2,845","1,011",266,30
,計,849,2,210,280,176,102,48,19,9,1,1,1,—,—,—,—,—,—,—
相同性別,男,276,—,65,100,56,31,15,5,4,—,—,—,—,—,—,—,—,—,—
,女,573,2,145,180,120,71,33,14,5,1,1,1,—,—,—,—,—,—,—
,計,"1,389,531",3,66,377,"1,490","6,933","15,983","27,582","50,461","89,818","138,661","199,977","199,092","197,194","207,666","153,435","77,600","20,204","2,989"
喪　　　　偶,男,"252,218",—,10,56,235,865,"2,159","3,916","7,803","14,622","22,668","31,903","30,773","33,884","41,236","35,509","20,277","5,465",837
,女,"1,137,313",3,56,321,"1,255","6,068","13,824","23,666","42,658","75,196","115,993","168,074","168,319","163,310","166,430","117,926","57,323","14,739","2,152"
,計,"1,389,520",3,66,376,"1,488","6,933","15,982","27,579","50,459","89,817","138,660","199,977","199,092","197,194","207,666","153,435","77,600","20,204","2,989"
不同性別,男,"252,213",—,10,55,235,865,"2,158","3,914","7,802","14,622","22,668","31,903","30,773","33,884","41,236","35,509","20,277","5,465",837
,女,"1,137,307",3,56,321,"1,253","6,068","13,824","23,665","42,657","75,195","115,992","168,074","168,319","163,310","166,430","117,926","57,323","14,739","2,152"
,計,11,—,—,1,2,—,1,3,2,1,1,—,—,—,—,—,—,—,—
相同性別,男,5,—,—,1,—,—,1,2,1,—,—,—,—,—,—,—,—,—,—
,女,6,—,—,—,2,—,—,1,1,1,1,—,—,—,—,—,—,—,—
