"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"1,216,424",—,"9,368","133,125","185,173","207,492","197,788","162,766","129,475","86,683","48,483","29,336","16,249","6,042","2,873","1,082",405,69,15
總　　　　計,男,"729,915",—,"5,396","81,760","111,480","122,200","113,414","92,912","75,356","53,422","32,205","20,996","12,156","4,791","2,449",940,363,61,14
,女,"486,509",—,"3,972","51,365","73,693","85,292","84,374","69,854","54,119","33,261","16,278","8,340","4,093","1,251",424,142,42,8,1
,計,"434,156",—,"9,316","123,464","116,200","73,814","44,216","28,424","18,921","10,473","4,646","2,607","1,349",483,161,58,13,9,2
未　　　　婚,男,"245,590",—,"5,375","76,695","72,883","43,885","22,011","11,273","6,639","3,359","1,613",964,526,223,93,37,5,7,2
,女,"188,566",—,"3,941","46,769","43,317","29,929","22,205","17,151","12,282","7,114","3,033","1,643",823,260,68,21,8,2,—
,計,"722,329",—,52,"9,522","67,279","128,598","144,454","123,168","99,176","67,293","38,437","23,416","12,898","4,699","2,236",770,284,36,11
有　　　　偶,男,"454,833",—,21,"4,997","37,713","75,680","86,880","76,508","63,566","45,754","27,909","18,174","10,467","4,061","2,056",723,277,36,11
,女,"267,496",—,31,"4,525","29,566","52,918","57,574","46,660","35,610","21,539","10,528","5,242","2,431",638,180,47,7,—,—
,計,"721,118",—,49,"9,468","67,052","128,276","144,162","122,993","99,092","67,257","38,425","23,413","12,896","4,699","2,236",769,284,36,11
不同性別,男,"454,356",—,19,"4,972","37,637","75,568","86,766","76,439","63,524","45,732","27,899","18,171","10,465","4,061","2,056",723,277,36,11
,女,"266,762",—,30,"4,496","29,415","52,708","57,396","46,554","35,568","21,525","10,526","5,242","2,431",638,180,46,7,—,—
,計,"1,211",—,3,54,227,322,292,175,84,36,12,3,2,—,—,1,—,—,—
相同性別,男,477,—,2,25,76,112,114,69,42,22,10,3,2,—,—,—,—,—,—
,女,734,—,1,29,151,210,178,106,42,14,2,—,—,—,—,1,—,—,—
,計,"51,074",—,—,132,"1,663","4,921","8,656","10,345","10,143","7,476","4,135","2,137","1,022",289,98,40,15,2,—
離婚/終止結婚,男,"25,443",—,—,67,866,"2,568","4,352","4,825","4,683","3,681","2,158","1,277",648,191,76,37,12,2,—
,女,"25,631",—,—,65,797,"2,353","4,304","5,520","5,460","3,795","1,977",860,374,98,22,3,3,—,—
,計,"51,014",—,—,124,"1,642","4,906","8,647","10,344","10,141","7,474","4,134","2,136","1,022",289,98,40,15,2,—
不同性別,男,"25,419",—,—,61,855,"2,565","4,349","4,825","4,683","3,680","2,158","1,277",648,191,76,37,12,2,—
,女,"25,595",—,—,63,787,"2,341","4,298","5,519","5,458","3,794","1,976",859,374,98,22,3,3,—,—
,計,60,—,—,8,21,15,9,1,2,2,1,1,—,—,—,—,—,—,—
相同性別,男,24,—,—,6,11,3,3,—,—,1,—,—,—,—,—,—,—,—,—
,女,36,—,—,2,10,12,6,1,2,1,1,1,—,—,—,—,—,—,—
,計,"8,865",—,—,7,31,159,462,829,"1,235","1,441","1,265","1,176",980,571,378,214,93,22,2
喪　　　　偶,男,"4,049",—,—,1,18,67,171,306,468,628,525,581,515,316,224,143,69,16,1
,女,"4,816",—,—,6,13,92,291,523,767,813,740,595,465,255,154,71,24,6,1
,計,"8,859",—,—,6,31,159,460,828,"1,234","1,441","1,264","1,176",980,571,378,214,93,22,2
不同性別,男,"4,046",—,—,—,18,67,170,305,468,628,525,581,515,316,224,143,69,16,1
,女,"4,813",—,—,6,13,92,290,523,766,813,739,595,465,255,154,71,24,6,1
,計,6,—,—,1,—,—,2,1,1,—,1,—,—,—,—,—,—,—,—
相同性別,男,3,—,—,1,—,—,1,1,—,—,—,—,—,—,—,—,—,—,—
,女,3,—,—,—,—,—,1,—,1,—,1,—,—,—,—,—,—,—,—
