"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"4,693,585",—,"477,495","939,080","812,428","723,000","511,635","332,650","245,378","201,361","163,689","133,583","76,627","38,424","18,334","11,076","6,574","1,950",301
總　　　　計,男,"2,246,224",—,"219,894","434,347","372,102","328,109","236,915","155,465","116,066","103,454","91,197","79,365","49,764","28,244","14,398","9,375","5,715","1,577",237
,女,"2,447,361",—,"257,601","504,733","440,326","394,891","274,720","177,185","129,312","97,907","72,492","54,218","26,863","10,180","3,936","1,701",859,373,64
,計,"2,336,613",—,"470,889","817,648","475,136","264,826","137,049","72,361","42,107","25,429","14,913","9,643","4,233","1,431",489,232,152,66,9
未　　　　婚,男,"1,110,111",—,"218,157","394,212","243,259","133,168","60,779","27,343","14,411","8,291","4,923","3,044","1,367",555,252,165,127,53,5
,女,"1,226,502",—,"252,732","423,436","231,877","131,658","76,270","45,018","27,696","17,138","9,990","6,599","2,866",876,237,67,25,13,4
,計,"2,120,199",—,"6,319","116,224","320,998","429,880","343,089","230,670","175,168","150,177","126,492","104,498","60,001","29,961","13,685","7,785","4,207",929,116
有　　　　偶,男,"1,035,189",—,"1,656","38,446","122,948","183,878","163,241","116,401","90,438","83,891","76,135","67,245","42,549","24,090","11,863","7,325","4,078",896,109
,女,"1,085,010",—,"4,663","77,778","198,050","246,002","179,848","114,269","84,730","66,286","50,357","37,253","17,452","5,871","1,822",460,129,33,7
,計,"2,118,138",—,"6,266","115,826","320,433","429,387","342,798","230,517","175,097","150,153","126,485","104,493","60,000","29,961","13,685","7,785","4,207",929,116
不同性別,男,"1,034,478",—,"1,643","38,319","122,757","183,735","163,134","116,332","90,397","83,881","76,130","67,241","42,548","24,090","11,863","7,325","4,078",896,109
,女,"1,083,660",—,"4,623","77,507","197,676","245,652","179,664","114,185","84,700","66,272","50,355","37,252","17,452","5,871","1,822",460,129,33,7
,計,"2,061",—,53,398,565,493,291,153,71,24,7,5,1,—,—,—,—,—,—
相同性別,男,711,—,13,127,191,143,107,69,41,10,5,4,1,—,—,—,—,—,—
,女,"1,350",—,40,271,374,350,184,84,30,14,2,1,—,—,—,—,—,—,—
,計,"188,941",—,287,"5,128","15,966","27,326","29,741","27,141","24,607","20,902","16,374","12,017","5,799","2,147",767,402,262,65,10
離婚/終止結婚,男,"83,548",—,81,"1,669","5,830","10,832","12,482","11,196","10,392","9,978","8,333","6,551","3,509","1,507",549,342,232,58,7
,女,"105,393",—,206,"3,459","10,136","16,494","17,259","15,945","14,215","10,924","8,041","5,466","2,290",640,218,60,30,7,3
,計,"188,902",—,281,"5,103","15,963","27,324","29,740","27,139","24,607","20,902","16,374","12,017","5,799","2,147",767,402,262,65,10
不同性別,男,"83,526",—,78,"1,654","5,828","10,832","12,482","11,194","10,392","9,978","8,333","6,551","3,509","1,507",549,342,232,58,7
,女,"105,376",—,203,"3,449","10,135","16,492","17,258","15,945","14,215","10,924","8,041","5,466","2,290",640,218,60,30,7,3
,計,39,—,6,25,3,2,1,2,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,22,—,3,15,2,—,—,2,—,—,—,—,—,—,—,—,—,—,—
,女,17,—,3,10,1,2,1,—,—,—,—,—,—,—,—,—,—,—,—
,計,"47,832",—,—,80,328,968,"1,756","2,478","3,496","4,853","5,910","7,425","6,594","4,885","3,393","2,657","1,953",890,166
喪　　　　偶,男,"17,376",—,—,20,65,231,413,525,825,"1,294","1,806","2,525","2,339","2,092","1,734","1,543","1,278",570,116
,女,"30,456",—,—,60,263,737,"1,343","1,953","2,671","3,559","4,104","4,900","4,255","2,793","1,659","1,114",675,320,50
,計,"47,832",—,—,80,328,968,"1,756","2,478","3,496","4,853","5,910","7,425","6,594","4,885","3,393","2,657","1,953",890,166
不同性別,男,"17,376",—,—,20,65,231,413,525,825,"1,294","1,806","2,525","2,339","2,092","1,734","1,543","1,278",570,116
,女,"30,456",—,—,60,263,737,"1,343","1,953","2,671","3,559","4,104","4,900","4,255","2,793","1,659","1,114",675,320,50
,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
