"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,038,114",—,"66,579","52,966","81,865","226,492","366,061","338,634","287,385","229,118","168,900","121,904","48,426","22,581","12,294","8,836","4,901","1,064",108
總　　　　計,男,"1,023,139",—,"25,591","25,679","37,301","96,247","157,732","160,150","151,476","128,983","101,773","75,686","29,846","13,573","7,675","6,685","3,896",772,74
,女,"1,014,975",—,"40,988","27,287","44,564","130,245","208,329","178,484","135,909","100,135","67,127","46,218","18,580","9,008","4,619","2,151","1,005",292,34
,計,"431,413",—,"64,220","39,416","36,843","68,891","83,367","58,024","37,523","22,148","11,482","6,491","2,051",537,189,120,79,24,8
未　　　　婚,男,"201,979",—,"25,160","21,136","20,256","35,728","40,486","26,654","16,343","9,216","4,178","1,963",514,134,56,70,61,19,5
,女,"229,434",—,"39,060","18,280","16,587","33,163","42,881","31,370","21,180","12,932","7,304","4,528","1,537",403,133,50,18,5,3
,計,"1,361,400",—,"2,198","12,323","40,766","141,596","248,231","239,750","209,356","171,958","129,843","94,372","37,125","16,635","8,263","5,692","2,825",434,33
有　　　　偶,男,"709,194",—,399,"4,181","15,602","54,748","103,476","115,152","115,141","102,161","83,618","63,324","25,411","11,487","6,230","5,109","2,704",421,30
,女,"652,206",—,"1,799","8,142","25,164","86,848","144,755","124,598","94,215","69,797","46,225","31,048","11,714","5,148","2,033",583,121,13,3
,計,"1,360,910",—,"2,183","12,276","40,710","141,478","248,106","239,667","209,329","171,946","129,838","94,370","37,125","16,635","8,263","5,692","2,825",434,33
不同性別,男,"709,042",—,396,"4,166","15,592","54,721","103,442","115,115","115,125","102,155","83,616","63,322","25,411","11,487","6,230","5,109","2,704",421,30
,女,"651,868",—,"1,787","8,110","25,118","86,757","144,664","124,552","94,204","69,791","46,222","31,048","11,714","5,148","2,033",583,121,13,3
,計,490,—,15,47,56,118,125,83,27,12,5,2,—,—,—,—,—,—,—
相同性別,男,152,—,3,15,10,27,34,37,16,6,2,2,—,—,—,—,—,—,—
,女,338,—,12,32,46,91,91,46,11,6,3,—,—,—,—,—,—,—,—
,計,"194,576",—,160,"1,208","4,169","15,416","32,432","37,472","35,736","28,857","20,173","12,963","3,860","1,191",435,298,169,35,2
離婚/終止結婚,男,"95,890",—,32,362,"1,429","5,669","13,451","17,666","18,772","15,804","11,519","7,598","2,271",669,251,230,137,28,2
,女,"98,686",—,128,846,"2,740","9,747","18,981","19,806","16,964","13,053","8,654","5,365","1,589",522,184,68,32,7,—
,計,"194,558",—,157,"1,199","4,168","15,415","32,431","37,469","35,736","28,857","20,173","12,963","3,860","1,191",435,298,169,35,2
不同性別,男,"95,879",—,29,356,"1,428","5,669","13,450","17,666","18,772","15,804","11,519","7,598","2,271",669,251,230,137,28,2
,女,"98,679",—,128,843,"2,740","9,746","18,981","19,803","16,964","13,053","8,654","5,365","1,589",522,184,68,32,7,—
,計,18,—,3,9,1,1,1,3,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,11,—,3,6,1,—,1,—,—,—,—,—,—,—,—,—,—,—,—
,女,7,—,—,3,—,1,—,3,—,—,—,—,—,—,—,—,—,—,—
,計,"50,725",—,1,19,87,589,"2,031","3,388","4,770","6,155","7,402","8,078","5,390","4,218","3,407","2,726","1,828",571,65
喪　　　　偶,男,"16,076",—,—,—,14,102,319,678,"1,220","1,802","2,458","2,801","1,650","1,283","1,138","1,276",994,304,37
,女,"34,649",—,1,19,73,487,"1,712","2,710","3,550","4,353","4,944","5,277","3,740","2,935","2,269","1,450",834,267,28
,計,"50,725",—,1,19,87,589,"2,031","3,388","4,770","6,155","7,402","8,078","5,390","4,218","3,407","2,726","1,828",571,65
不同性別,男,"16,076",—,—,—,14,102,319,678,"1,220","1,802","2,458","2,801","1,650","1,283","1,138","1,276",994,304,37
,女,"34,649",—,1,19,73,487,"1,712","2,710","3,550","4,353","4,944","5,277","3,740","2,935","2,269","1,450",834,267,28
,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
