"婚姻狀況及
婚姻類型",性別,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"20,592,770","1,254,141","1,514,105","1,609,454","1,594,132","1,964,945","1,974,288","1,775,328","1,814,146","1,827,585","1,657,519","1,379,517","800,166","609,634","426,615","250,664","111,099","25,626","3,806"
總　　　　計,男,"10,141,384","655,005","786,337","835,899","811,836","973,587","972,012","870,707","893,605","894,467","800,678","655,667","372,358","271,662","177,638","106,901","50,353","10,985","1,687"
,女,"10,451,386","599,136","727,768","773,555","782,296","991,358","1,002,276","904,621","920,541","933,118","856,841","723,850","427,808","337,972","248,977","143,763","60,746","14,641","2,119"
,計,"7,054,060","1,251,268","1,458,152","1,332,197","884,652","676,215","482,541","320,436","240,626","170,671","108,334","66,825","28,742","14,585","8,503","5,081","3,534","1,359",339
未　　　　婚,男,"3,823,893","654,498","767,556","727,349","511,183","398,351","271,360","169,496","125,136","88,681","53,975","28,821","11,811","6,359","3,661","2,398","2,106",908,244
,女,"3,230,167","596,770","690,596","604,848","373,469","277,864","211,181","150,940","115,490","81,990","54,359","38,004","16,931","8,226","4,842","2,683","1,428",451,95
,計,"10,356,627","2,535","46,754","244,289","636,641","1,120,333","1,240,774","1,161,186","1,232,697","1,287,997","1,187,248","969,528","530,998","361,643","204,408","91,602","31,945","5,346",703
有　　　　偶,男,"5,211,725",476,"15,762","95,375","271,302","507,622","591,285","570,345","617,823","656,383","618,238","524,908","302,157","214,497","127,129","65,847","27,215","4,739",622
,女,"5,144,902","2,059","30,992","148,914","365,339","612,711","649,489","590,841","614,874","631,614","569,010","444,620","228,841","147,146","77,279","25,755","4,730",607,81
,計,"10,351,088","2,525","46,337","243,243","635,406","1,119,165","1,239,946","1,160,708","1,232,470","1,287,910","1,187,226","969,512","530,993","361,643","204,408","91,602","31,945","5,346",703
不同性別,男,"5,210,082",474,"15,656","95,120","270,955","507,335","591,018","570,154","617,704","656,342","618,226","524,896","302,153","214,497","127,129","65,847","27,215","4,739",622
,女,"5,141,006","2,051","30,681","148,123","364,451","611,830","648,928","590,554","614,766","631,568","569,000","444,616","228,840","147,146","77,279","25,755","4,730",607,81
,計,"5,539",10,417,"1,046","1,235","1,168",828,478,227,87,22,16,5,—,—,—,—,—,—
相同性別,男,"1,643",2,106,255,347,287,267,191,119,41,12,12,4,—,—,—,—,—,—
,女,"3,896",8,311,791,888,881,561,287,108,46,10,4,1,—,—,—,—,—,—
,計,"1,808,456",334,"9,139","32,562","70,993","160,678","234,576","264,805","287,948","275,434","219,178","144,794","59,209","27,538","12,002","5,712","2,789",662,103
離婚/終止結婚,男,"855,466",31,"3,010","13,125","29,113","66,691","107,206","126,761","142,478","134,363","105,431","70,862","30,615","14,381","5,915","3,096","1,881",435,72
,女,"952,990",303,"6,129","19,437","41,880","93,987","127,370","138,044","145,470","141,071","113,747","73,932","28,594","13,157","6,087","2,616",908,227,31
,計,"1,808,264",331,"9,072","32,486","70,974","160,664","234,571","264,800","287,947","275,434","219,177","144,793","59,209","27,538","12,002","5,712","2,789",662,103
不同性別,男,"855,375",29,"2,978","13,087","29,104","66,687","107,203","126,759","142,477","134,363","105,431","70,862","30,615","14,381","5,915","3,096","1,881",435,72
,女,"952,889",302,"6,094","19,399","41,870","93,977","127,368","138,041","145,470","141,071","113,746","73,931","28,594","13,157","6,087","2,616",908,227,31
,計,192,3,67,76,19,14,5,5,1,—,1,1,—,—,—,—,—,—,—
相同性別,男,91,2,32,38,9,4,3,2,1,—,—,—,—,—,—,—,—,—,—
,女,101,1,35,38,10,10,2,3,—,—,1,1,—,—,—,—,—,—,—
,計,"1,373,627",4,60,406,"1,846","7,719","16,397","28,901","52,875","93,483","142,759","198,370","181,217","205,868","201,702","148,269","72,831","18,259","2,661"
喪　　　　偶,男,"250,300",—,9,50,238,923,"2,161","4,105","8,168","15,040","23,034","31,076","27,775","36,425","40,933","35,560","19,151","4,903",749
,女,"1,123,327",4,51,356,"1,608","6,796","14,236","24,796","44,707","78,443","119,725","167,294","153,442","169,443","160,769","112,709","53,680","13,356","1,912"
,計,"1,373,624",4,60,406,"1,846","7,719","16,396","28,900","52,875","93,482","142,759","198,370","181,217","205,868","201,702","148,269","72,831","18,259","2,661"
不同性別,男,"250,299",—,9,50,238,923,"2,161","4,104","8,168","15,040","23,034","31,076","27,775","36,425","40,933","35,560","19,151","4,903",749
,女,"1,123,325",4,51,356,"1,608","6,796","14,235","24,796","44,707","78,442","119,725","167,294","153,442","169,443","160,769","112,709","53,680","13,356","1,912"
,計,3,—,—,—,—,—,1,1,—,1,—,—,—,—,—,—,—,—,—
相同性別,男,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—
,女,2,—,—,—,—,—,1,—,—,1,—,—,—,—,—,—,—,—,—
