"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,030,074",—,"64,936","52,083","68,966","188,378","354,075","342,187","297,098","241,008","176,273","133,162","60,055","23,590","13,408","8,282","5,190","1,241",142
總　　　　計,男,"1,017,498",—,"24,826","25,332","31,637","81,142","150,696","158,940","153,100","134,006","104,626","82,816","36,919","14,153","8,230","5,940","4,093",946,96
,女,"1,012,576",—,"40,110","26,751","37,329","107,236","203,379","183,247","143,998","107,002","71,647","50,346","23,136","9,437","5,178","2,342","1,097",295,46
,計,"425,581",—,"62,611","39,072","31,831","58,191","83,409","61,121","40,895","24,623","12,833","7,251","2,696",611,217,108,78,23,11
未　　　　婚,男,"199,031",—,"24,436","20,851","17,522","30,839","40,714","28,329","17,956","10,293","4,808","2,263",674,153,56,53,58,19,7
,女,"226,550",—,"38,175","18,221","14,309","27,352","42,695","32,792","22,939","14,330","8,025","4,988","2,022",458,161,55,20,4,4
,計,"1,351,410",—,"2,139","11,811","33,308","116,119","237,138","240,073","214,109","179,084","134,384","102,614","45,689","17,244","8,969","5,171","2,967",557,34
有　　　　偶,男,"703,290",—,358,"4,113","12,805","45,162","96,831","112,487","114,703","104,955","85,199","68,992","31,181","11,909","6,674","4,509","2,834",547,31
,女,"648,120",—,"1,781","7,698","20,503","70,957","140,307","127,586","99,406","74,129","49,185","33,622","14,508","5,335","2,295",662,133,10,3
,計,"1,350,571",—,"2,110","11,740","33,213","115,931","236,911","239,931","214,057","179,058","134,377","102,614","45,687","17,244","8,969","5,171","2,967",557,34
不同性別,男,"703,054",—,350,"4,094","12,794","45,126","96,778","112,428","114,673","104,940","85,196","68,992","31,179","11,909","6,674","4,509","2,834",547,31
,女,"647,517",—,"1,760","7,646","20,419","70,805","140,133","127,503","99,384","74,118","49,181","33,622","14,508","5,335","2,295",662,133,10,3
,計,839,—,29,71,95,188,227,142,52,26,7,—,2,—,—,—,—,—,—
相同性別,男,236,—,8,19,11,36,53,59,30,15,3,—,2,—,—,—,—,—,—
,女,603,—,21,52,84,152,174,83,22,11,4,—,—,—,—,—,—,—,—
,計,"199,744",—,185,"1,181","3,759","13,588","31,616","37,637","37,195","30,927","21,564","14,573","5,164","1,358",491,275,187,42,2
離婚/終止結婚,男,"98,331",—,32,368,"1,302","5,054","12,839","17,480","19,221","16,902","12,158","8,539","3,008",763,276,198,155,34,2
,女,"101,413",—,153,813,"2,457","8,534","18,777","20,157","17,974","14,025","9,406","6,034","2,156",595,215,77,32,8,—
,計,"199,680",—,170,"1,166","3,747","13,581","31,612","37,628","37,193","30,927","21,564","14,573","5,164","1,358",491,275,187,42,2
不同性別,男,"98,309",—,26,358,"1,299","5,053","12,838","17,479","19,221","16,902","12,158","8,539","3,008",763,276,198,155,34,2
,女,"101,371",—,144,808,"2,448","8,528","18,774","20,149","17,972","14,025","9,406","6,034","2,156",595,215,77,32,8,—
,計,64,—,15,15,12,7,4,9,2,—,—,—,—,—,—,—,—,—,—
相同性別,男,22,—,6,10,3,1,1,1,—,—,—,—,—,—,—,—,—,—,—
,女,42,—,9,5,9,6,3,8,2,—,—,—,—,—,—,—,—,—,—
,計,"53,339",—,1,19,68,480,"1,912","3,356","4,899","6,374","7,492","8,724","6,506","4,377","3,731","2,728","1,958",619,95
喪　　　　偶,男,"16,846",—,—,—,8,87,312,644,"1,220","1,856","2,461","3,022","2,056","1,328","1,224","1,180","1,046",346,56
,女,"36,493",—,1,19,60,393,"1,600","2,712","3,679","4,518","5,031","5,702","4,450","3,049","2,507","1,548",912,273,39
,計,"53,339",—,1,19,68,480,"1,912","3,356","4,899","6,374","7,492","8,724","6,506","4,377","3,731","2,728","1,958",619,95
不同性別,男,"16,846",—,—,—,8,87,312,644,"1,220","1,856","2,461","3,022","2,056","1,328","1,224","1,180","1,046",346,56
,女,"36,493",—,1,19,60,393,"1,600","2,712","3,679","4,518","5,031","5,702","4,450","3,049","2,507","1,548",912,273,39
,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
